1	adj-i	adjective (keiyoushi)
2	adj-na	adjectival nouns or quasi-adjectives (keiyodoshi)
3	adj-no	nouns which may take the genitive case particle `no'
4	adj-pn	pre-noun adjectival (rentaishi)
5	adj-t	`taru' adjective
6	adv	adverb (fukushi)
7	adj-ix	adjective (keiyoushi) - yoi/ii class
8	adv-to	adverb taking the `to' particle
9	aux	auxiliary
10	aux-adj	auxiliary adjective
11	aux-v	auxiliary verb
12	conj	conjunction
13	exp	expressions (phrases, clauses, etc.)
14	int	interjection (kandoushi)
15	cop	copula
17	n	noun (common) (futsuumeishi)
18	n-adv	adverbial noun (fukushitekimeishi)
19	n-suf	noun, used as a suffix
20	n-pref	noun, used as a prefix
21	n-t	noun (temporal) (jisoumeishi)
24	num	numeric
25	pref	prefix
26	prt	particle
27	suf	suffix
28	v1	Ichidan verb
29	v1-s	Ichidan verb - kureru special class
30	v5aru	Godan verb - -aru special class
31	v5b	Godan verb with `bu' ending
32	v5g	Godan verb with `gu' ending
33	v5k	Godan verb with `ku' ending
34	v5k-s	Godan verb - Iku/Yuku special class
35	v5m	Godan verb with `mu' ending
36	v5n	Godan verb with `nu' ending
37	v5r	Godan verb with `ru' ending
38	v5r-i	Godan verb with `ru' ending (irregular verb)
39	v5s	Godan verb with `su' ending
40	v5t	Godan verb with `tsu' ending
41	v5u	Godan verb with `u' ending
42	v5u-s	Godan verb with `u' ending (special class)
43	v5uru	Godan verb - Uru old class verb (old form of Eru)
44	vi	intransitive verb
45	vk	Kuru verb - special class
46	vs	noun or participle which takes the aux. verb suru
47	vs-s	suru verb - special class
48	vs-i	suru verb - included
49	vz	Ichidan verb - zuru verb (alternative form of -jiru verbs)
50	vt	transitive verb
51	ctr	counter
52	vn	irregular nu verb
53	v4r	Yodan verb with `ru' ending (archaic)
56	adj-f	noun or verb acting prenominally
58	vr	irregular ru verb, plain form ends with -ri
59	v2a-s	Nidan verb with 'u' ending (archaic)
60	v4h	Yodan verb with `hu/fu' ending (archaic)
61	pn	pronoun
62	vs-c	su verb - precursor to the modern suru
63	adj-kari	`kari' adjective (archaic)
64	adj-ku	`ku' adjective (archaic)
65	adj-shiku	`shiku' adjective (archaic)
66	adj-nari	archaic/formal form of na-adjective
67	n-pr	proper noun
68	v-unspec	verb unspecified
69	v4k	Yodan verb with `ku' ending (archaic)
70	v4g	Yodan verb with `gu' ending (archaic)
71	v4s	Yodan verb with `su' ending (archaic)
72	v4t	Yodan verb with `tsu' ending (archaic)
73	v4n	Yodan verb with `nu' ending (archaic)
74	v4b	Yodan verb with `bu' ending (archaic)
75	v4m	Yodan verb with `mu' ending (archaic)
76	v2k-k	Nidan verb (upper class) with `ku' ending (archaic)
77	v2g-k	Nidan verb (upper class) with `gu' ending (archaic)
78	v2t-k	Nidan verb (upper class) with `tsu' ending (archaic)
79	v2d-k	Nidan verb (upper class) with `dzu' ending (archaic)
80	v2h-k	Nidan verb (upper class) with `hu/fu' ending (archaic)
81	v2b-k	Nidan verb (upper class) with `bu' ending (archaic)
82	v2m-k	Nidan verb (upper class) with `mu' ending (archaic)
83	v2y-k	Nidan verb (upper class) with `yu' ending (archaic)
84	v2r-k	Nidan verb (upper class) with `ru' ending (archaic)
85	v2k-s	Nidan verb (lower class) with `ku' ending (archaic)
86	v2g-s	Nidan verb (lower class) with `gu' ending (archaic)
87	v2s-s	Nidan verb (lower class) with `su' ending (archaic)
88	v2z-s	Nidan verb (lower class) with `zu' ending (archaic)
89	v2t-s	Nidan verb (lower class) with `tsu' ending (archaic)
90	v2d-s	Nidan verb (lower class) with `dzu' ending (archaic)
91	v2n-s	Nidan verb (lower class) with `nu' ending (archaic)
92	v2h-s	Nidan verb (lower class) with `hu/fu' ending (archaic)
93	v2b-s	Nidan verb (lower class) with `bu' ending (archaic)
94	v2m-s	Nidan verb (lower class) with `mu' ending (archaic)
95	v2y-s	Nidan verb (lower class) with `yu' ending (archaic)
96	v2r-s	Nidan verb (lower class) with `ru' ending (archaic)
97	v2w-s	Nidan verb (lower class) with `u' ending and `we' conjugation (archaic)
98	unc	unclassified
