pos	conj	neg	fml	onum	note
2	1	f	f	1	7
15	1	t	f	1	3
15	1	t	t	1	3
15	1	t	t	2	3
15	2	t	f	1	3
15	2	t	t	1	3
15	3	t	f	1	3
15	4	f	f	1	2
15	11	t	f	1	3
15	11	t	t	1	3
17	1	f	f	1	7
28	5	f	f	2	6
28	5	f	t	2	6
28	5	t	f	2	6
28	5	t	t	2	6
28	9	t	f	1	5
28	9	t	t	1	5
29	5	f	f	2	6
29	5	f	t	2	6
29	5	t	f	2	6
29	5	t	t	2	6
29	9	t	f	1	5
29	9	t	t	1	5
29	10	f	f	1	1
30	1	f	t	1	1
30	1	t	t	1	1
30	2	f	t	1	1
30	2	t	t	1	1
30	3	f	t	1	1
30	3	t	t	1	1
30	4	f	t	1	1
30	4	f	t	2	1
30	4	t	t	1	1
30	4	t	t	2	1
30	9	f	t	1	1
30	9	t	f	1	5
30	9	t	t	1	5
30	10	f	f	1	1
30	10	f	t	1	1
30	10	t	t	1	1
30	11	f	t	1	1
30	11	t	t	1	1
30	12	f	t	1	1
30	13	f	f	1	1
31	9	t	f	1	5
31	9	t	t	1	5
32	9	t	f	1	5
32	9	t	t	1	5
33	9	t	f	1	5
33	9	t	t	1	5
34	2	f	f	1	1
34	3	f	f	1	1
34	9	t	f	1	5
34	9	t	t	1	5
34	11	f	f	1	1
34	12	f	f	1	1
35	9	t	f	1	5
35	9	t	t	1	5
36	9	t	f	1	5
36	9	t	t	1	5
37	9	t	f	1	5
37	9	t	t	1	5
38	1	t	f	1	1
38	2	t	f	1	1
38	3	t	f	1	1
38	3	t	f	2	1
38	9	t	f	1	5
38	9	t	t	1	5
38	11	t	f	1	1
38	12	t	f	1	1
39	9	t	f	1	5
39	9	t	t	1	5
40	9	t	f	1	5
40	9	t	t	1	5
41	9	t	f	1	5
41	9	t	t	1	5
42	2	f	f	1	1
42	3	f	f	1	1
42	9	t	f	1	5
42	9	t	t	1	5
42	11	f	f	1	1
42	12	f	f	1	1
45	5	f	f	2	6
45	5	f	t	2	6
45	5	t	f	2	6
45	5	t	t	2	6
45	9	t	f	1	5
45	9	t	t	1	5
45	10	f	f	1	1
46	1	f	f	1	8
47	5	f	f	1	1
47	5	f	t	1	1
47	5	t	f	1	1
47	5	t	t	1	1
47	6	f	f	1	1
47	6	f	t	1	1
47	6	t	f	1	1
47	6	t	t	1	1
47	7	f	f	1	1
47	7	f	f	2	1
47	7	f	t	1	1
47	7	f	t	2	1
47	7	t	f	1	1
47	7	t	f	2	1
47	7	t	t	1	1
47	7	t	t	2	1
47	8	f	f	1	1
47	8	f	t	1	1
47	8	t	f	1	1
47	8	t	t	1	1
47	9	t	f	1	5
47	9	t	t	1	5
47	10	f	f	2	1
48	5	f	f	1	1
48	5	f	t	1	1
48	5	t	f	1	1
48	5	t	t	1	1
48	6	f	f	1	1
48	6	f	t	1	1
48	6	t	f	1	1
48	6	t	t	1	1
48	7	f	f	1	1
48	7	f	f	2	1
48	7	f	t	1	1
48	7	f	t	2	1
48	7	t	f	1	1
48	7	t	f	2	1
48	7	t	t	1	1
48	7	t	t	2	1
48	8	f	f	1	1
48	8	f	t	1	1
48	8	t	f	1	1
48	8	t	t	1	1
48	9	t	f	1	5
48	9	t	t	1	5
48	10	f	f	2	1
